CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
EK,2450,EMIRATES,2025-07-01T22:40:00,2025-07-01T22:17:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1625,FLYDUBAI,2025-07-01T22:40:00,2025-07-01T22:17:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
LY,084,EL AL ISRAEL AIRLINES,2025-07-01T23:00:00,2025-07-01T22:29:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
QF,5019,QANTAS AIRWAYS,2025-07-01T23:00:00,2025-07-01T22:29:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
TG,4585,THAI AIRWAYS,2025-07-01T23:00:00,2025-07-01T22:29:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
VN,3295,VIETNAM AIRLINES,2025-07-01T23:00:00,2025-07-01T22:29:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
U8,107,TUS AIRWAYS,2025-07-01T22:30:00,2025-07-01T22:30:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,20-23,A,CANCELED,מבוטלת
U8,105,TUS AIRWAYS,2025-07-01T22:30:00,2025-07-01T22:32:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,22-25,A,DEPARTED,המריאה
IZ,828,ARKIA  ISRAELI  AIRLINES,2025-07-01T22:50:00,2025-07-01T22:36:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
BZ,441,BLUE BIRD AIRWAYS,2025-07-01T22:40:00,2025-07-01T22:41:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
LY,081,EL AL ISRAEL AIRLINES,2025-07-01T22:20:00,2025-07-01T22:42:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
QF,5020,QANTAS AIRWAYS,2025-07-01T22:20:00,2025-07-01T22:42:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
TG,4584,THAI AIRWAYS,2025-07-01T22:20:00,2025-07-01T22:42:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
VN,3298,VIETNAM AIRLINES,2025-07-01T22:20:00,2025-07-01T22:42:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
U8,313,TUS AIRWAYS,2025-07-01T22:15:00,2025-07-01T22:45:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,LANDED,נחתה
IZ,096,ARKIA  ISRAELI  AIRLINES,2025-07-01T23:00:00,2025-07-01T22:48:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,LANDED,נחתה
H7,457,HISKY,2025-07-01T22:40:00,2025-07-01T22:53:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,LANDED,נחתה
IZ,368,ARKIA  ISRAELI  AIRLINES,2025-07-01T21:50:00,2025-07-01T22:58:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,LANDED,נחתה
AF,7074,AIR FRANCE,2025-07-01T22:55:00,2025-07-01T23:08:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,328,EL AL ISRAEL AIRLINES,2025-07-01T22:55:00,2025-07-01T23:08:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
SK,3162,SAS,2025-07-01T22:55:00,2025-07-01T23:08:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
RO,155,TAROM - ROMANIAN AIR TRANSPORT,2025-07-01T23:20:00,2025-07-01T23:10:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
EK,2345,EMIRATES,2025-07-01T23:35:00,2025-07-01T23:13:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1807,FLYDUBAI,2025-07-01T23:35:00,2025-07-01T23:13:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
BZ,151,BLUE BIRD AIRWAYS,2025-07-01T23:45:00,2025-07-01T23:17:00,A,BGY,BERGAMO,ברגמו,BERGAMO,איטליה,ITALY,3,,,LANDED,נחתה
BZ,751,BLUE BIRD AIRWAYS,2025-07-01T23:20:00,2025-07-01T23:23:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,LANDED,נחתה
IZ,418,ARKIA  ISRAELI  AIRLINES,2025-07-01T23:40:00,2025-07-01T23:27:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
J2,321,AZERBAIJAN AIRLINES,2025-07-01T23:50:00,2025-07-01T23:50:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,CANCELED,מבוטלת
LY,9956,EL AL ISRAEL AIRLINES,2025-07-01T23:50:00,2025-07-01T23:50:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,CANCELED,מבוטלת
6H,116,ISRAIR AIRLINES,2025-07-02T00:05:00,2025-07-01T23:52:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
LY,5134,EL AL ISRAEL AIRLINES,2025-07-01T23:45:00,2025-07-01T23:55:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
LY,544,EL AL ISRAEL AIRLINES,2025-07-01T23:50:00,2025-07-01T23:57:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
6H,561,ISRAIR AIRLINES,2025-07-01T21:25:00,2025-07-01T23:58:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,29-33,A,DEPARTED,המריאה
EK,2451,EMIRATES,2025-07-01T23:50:00,2025-07-02T00:01:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,50-55,B,DEPARTED,המריאה
FZ,1626,FLYDUBAI,2025-07-01T23:50:00,2025-07-02T00:01:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,50-55,B,DEPARTED,המריאה
RO,156,TAROM - ROMANIAN AIR TRANSPORT,2025-07-02T00:20:00,2025-07-02T00:22:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,15-17,A,DEPARTED,המריאה
6H,728,ISRAIR AIRLINES,2025-07-02T00:25:00,2025-07-02T00:26:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
LY,5138,EL AL ISRAEL AIRLINES,2025-07-02T00:45:00,2025-07-02T00:33:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
AR,7851,AEROLINEAS ARGENTINAS S.A.,2025-07-02T00:15:00,2025-07-02T00:34:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
B6,6467,JETBLUE AIRWAYS CORPORATION,2025-07-02T00:15:00,2025-07-02T00:34:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7437,DELTA AIRLINES,2025-07-02T00:15:00,2025-07-02T00:34:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,017,EL AL ISRAEL AIRLINES,2025-07-02T00:15:00,2025-07-02T00:34:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
6H,228,ISRAIR AIRLINES,2025-07-02T00:35:00,2025-07-02T00:35:00,A,BGO,BERGEN,ברגן,BERGEN,נורבגיה,NORWAY,3,,,CANCELED,מבוטלת
BZ,271,BLUE BIRD AIRWAYS,2025-07-01T23:50:00,2025-07-02T00:45:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,LANDED,נחתה
H7,458,HISKY,2025-07-01T23:40:00,2025-07-02T00:46:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,12-14,A,DEPARTED,המריאה
EK,2346,EMIRATES,2025-07-02T00:50:00,2025-07-02T00:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,50-55,B,DEPARTED,המריאה
FZ,1808,FLYDUBAI,2025-07-02T00:50:00,2025-07-02T00:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,50-55,B,DEPARTED,המריאה
J2,322,AZERBAIJAN AIRLINES,2025-07-02T00:50:00,2025-07-02T00:50:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,30-33,A,CANCELED,מבוטלת
LY,9955,EL AL ISRAEL AIRLINES,2025-07-02T00:50:00,2025-07-02T00:50:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,30-33,A,CANCELED,מבוטלת
LY,352,EL AL ISRAEL AIRLINES,2025-07-02T00:40:00,2025-07-02T00:53:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,LANDED,נחתה
SK,3178,SAS,2025-07-02T00:40:00,2025-07-02T00:53:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,LANDED,נחתה
B6,6483,JETBLUE AIRWAYS CORPORATION,2025-07-02T00:30:00,2025-07-02T00:54:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,56-74,C,DEPARTED,המריאה
DL,7443,DELTA AIRLINES,2025-07-02T00:30:00,2025-07-02T00:54:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,56-74,C,DEPARTED,המריאה
LY,027,EL AL ISRAEL AIRLINES,2025-07-02T00:30:00,2025-07-02T00:54:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,56-74,C,DEPARTED,המריאה
LY,5226,EL AL ISRAEL AIRLINES,2025-07-01T19:25:00,2025-07-02T01:01:00,A,JTR,SANTORINI,סנטוריני,SANTORINI,יוון,GREECE,3,,,LANDED,נחתה
LY,356,EL AL ISRAEL AIRLINES,2025-07-02T00:35:00,2025-07-02T01:03:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
6H,730,ISRAIR AIRLINES,2025-07-01T17:50:00,2025-07-02T01:06:00,A,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,LANDED,נחתה
LY,083,EL AL ISRAEL AIRLINES,2025-07-02T00:55:00,2025-07-02T01:09:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,56-74,C,DEPARTED,המריאה
QF,5018,QANTAS AIRWAYS,2025-07-02T00:55:00,2025-07-02T01:09:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,56-74,C,DEPARTED,המריאה
TG,4586,THAI AIRWAYS,2025-07-02T00:55:00,2025-07-02T01:09:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,56-74,C,DEPARTED,המריאה
B6,6481,JETBLUE AIRWAYS CORPORATION,2025-07-02T01:00:00,2025-07-02T01:16:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7441,DELTA AIRLINES,2025-07-02T01:00:00,2025-07-02T01:16:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,025,EL AL ISRAEL AIRLINES,2025-07-02T01:00:00,2025-07-02T01:16:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
AM,7869,AERO MEXICO,2025-07-02T01:00:00,2025-07-02T01:18:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
AR,7853,AEROLINEAS ARGENTINAS S.A.,2025-07-02T01:00:00,2025-07-02T01:18:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
B6,6451,JETBLUE AIRWAYS CORPORATION,2025-07-02T01:00:00,2025-07-02T01:18:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7424,DELTA AIRLINES,2025-07-02T01:00:00,2025-07-02T01:18:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,001,EL AL ISRAEL AIRLINES,2025-07-02T01:00:00,2025-07-02T01:18:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
B6,6465,JETBLUE AIRWAYS CORPORATION,2025-07-02T01:05:00,2025-07-02T01:25:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,56-74,C,DEPARTED,המריאה
DL,7435,DELTA AIRLINES,2025-07-02T01:05:00,2025-07-02T01:25:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,56-74,C,DEPARTED,המריאה
LY,015,EL AL ISRAEL AIRLINES,2025-07-02T01:05:00,2025-07-02T01:25:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,56-74,C,DEPARTED,המריאה
IZ,993,ARKIA  ISRAELI  AIRLINES,2025-07-01T23:55:00,2025-07-02T01:30:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,34-42,B,DEPARTED,המריאה
AM,7875,AERO MEXICO,2025-07-02T01:05:00,2025-07-02T01:32:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
B6,6461,JETBLUE AIRWAYS CORPORATION,2025-07-02T01:05:00,2025-07-02T01:32:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7428,DELTA AIRLINES,2025-07-02T01:05:00,2025-07-02T01:32:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,005,EL AL ISRAEL AIRLINES,2025-07-02T01:05:00,2025-07-02T01:32:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
6H,752,ISRAIR AIRLINES,2025-07-02T02:00:00,2025-07-02T01:36:00,A,LJU,LJUBLJANA,לובליאנה,LJUBLJANA,סלובניה,SLOVENIA,3,,,LANDED,נחתה
LY,364,EL AL ISRAEL AIRLINES,2025-07-02T02:00:00,2025-07-02T01:40:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,LANDED,נחתה
LY,572,EL AL ISRAEL AIRLINES,2025-07-02T00:55:00,2025-07-02T01:43:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
IZ,214,ARKIA  ISRAELI  AIRLINES,2025-07-02T01:55:00,2025-07-02T01:49:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
LY,344,EL AL ISRAEL AIRLINES,2025-07-02T02:10:00,2025-07-02T01:52:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
SK,3190,SAS,2025-07-02T02:10:00,2025-07-02T01:52:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
6H,894,ISRAIR AIRLINES,2025-07-02T02:00:00,2025-07-02T01:52:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
6H,352,ISRAIR AIRLINES,2025-07-02T02:05:00,2025-07-02T01:56:00,A,VRN,VILLAFRANCA-VERONA,ורונה,VERONA,איטליה,ITALY,3,,,LANDED,נחתה
LY,282,EL AL ISRAEL AIRLINES,2025-07-02T00:40:00,2025-07-02T01:57:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
TP,8911,AIR PORTUGAL,2025-07-02T00:40:00,2025-07-02T01:57:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
LO,5258,LOT POLISH AIRLINES,2025-07-02T02:20:00,2025-07-02T02:00:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
LY,5106,EL AL ISRAEL AIRLINES,2025-07-02T02:20:00,2025-07-02T02:00:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
6H,166,ISRAIR AIRLINES,2025-07-02T01:55:00,2025-07-02T02:11:00,A,TIA,TIRANA,טיראנה,TIRANA,אלבניה,ALBANIA,3,,,LANDED,נחתה
AR,7874,AEROLINEAS ARGENTINAS S.A.,2025-07-02T02:10:00,2025-07-02T02:12:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
LY,384,EL AL ISRAEL AIRLINES,2025-07-02T02:10:00,2025-07-02T02:12:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
SK,3166,SAS,2025-07-02T02:10:00,2025-07-02T02:12:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
TP,8897,AIR PORTUGAL,2025-07-02T02:10:00,2025-07-02T02:12:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
LO,5254,LOT POLISH AIRLINES,2025-07-02T02:25:00,2025-07-02T02:22:00,A,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,3,,,LANDED,נחתה
LY,5120,EL AL ISRAEL AIRLINES,2025-07-02T02:25:00,2025-07-02T02:22:00,A,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,3,,,LANDED,נחתה
AM,7850,AERO MEXICO,2025-07-02T03:05:00,2025-07-02T02:40:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
KL,2474,K.L.M.,2025-07-02T03:05:00,2025-07-02T02:40:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
LY,336,EL AL ISRAEL AIRLINES,2025-07-02T03:05:00,2025-07-02T02:40:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
SK,3152,SAS,2025-07-02T03:05:00,2025-07-02T02:40:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
LY,548,EL AL ISRAEL AIRLINES,2025-07-02T02:55:00,2025-07-02T02:47:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
6H,348,ISRAIR AIRLINES,2025-07-02T02:55:00,2025-07-02T02:49:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
LY,2524,EL AL ISRAEL AIRLINES,2025-07-02T03:05:00,2025-07-02T02:51:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,LANDED,נחתה
LY,290,EL AL ISRAEL AIRLINES,2025-07-02T02:30:00,2025-07-02T02:55:00,A,VCE,VENICE,ונציה,VENICE,איטליה,ITALY,3,,,LANDED,נחתה
LY,2374,EL AL ISRAEL AIRLINES,2025-07-02T03:05:00,2025-07-02T02:57:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,LANDED,נחתה
SK,3156,SAS,2025-07-02T03:05:00,2025-07-02T02:57:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,LANDED,נחתה
LY,2368,EL AL ISRAEL AIRLINES,2025-07-02T03:40:00,2025-07-02T03:25:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
LY,388,EL AL ISRAEL AIRLINES,2025-07-02T03:40:00,2025-07-02T03:44:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
SK,3180,SAS,2025-07-02T03:40:00,2025-07-02T03:44:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
TP,8901,AIR PORTUGAL,2025-07-02T03:40:00,2025-07-02T03:44:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
LY,5128,EL AL ISRAEL AIRLINES,2025-07-02T04:10:00,2025-07-02T03:48:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,LANDED,נחתה
LY,5110,EL AL ISRAEL AIRLINES,2025-07-02T03:20:00,2025-07-02T03:54:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
AR,7865,AEROLINEAS ARGENTINAS S.A.,2025-07-02T03:50:00,2025-07-02T03:57:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
B6,6454,JETBLUE AIRWAYS CORPORATION,2025-07-02T03:50:00,2025-07-02T03:57:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7427,DELTA AIRLINES,2025-07-02T03:50:00,2025-07-02T03:57:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,004,EL AL ISRAEL AIRLINES,2025-07-02T03:50:00,2025-07-02T03:57:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
6H,152,ISRAIR AIRLINES,2025-07-02T03:50:00,2025-07-02T04:00:00,A,AGP,MALAGA,מלגה,MALAGA,ספרד,SPAIN,3,,,LANDED,נחתה
LY,372,EL AL ISRAEL AIRLINES,2025-07-02T02:25:00,2025-07-02T04:04:00,A,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,,,LANDED,נחתה
TP,8915,AIR PORTUGAL,2025-07-02T02:25:00,2025-07-02T04:04:00,A,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,,,LANDED,נחתה
IB,7711,IBERIA,2025-07-02T03:40:00,2025-07-02T04:16:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
LY,392,EL AL ISRAEL AIRLINES,2025-07-02T03:40:00,2025-07-02T04:16:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
AF,7072,AIR FRANCE,2025-07-02T03:55:00,2025-07-02T04:19:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
AM,7854,AERO MEXICO,2025-07-02T03:55:00,2025-07-02T04:19:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,326,EL AL ISRAEL AIRLINES,2025-07-02T03:55:00,2025-07-02T04:19:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
SK,3158,SAS,2025-07-02T03:55:00,2025-07-02T04:19:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
6H,562,ISRAIR AIRLINES,2025-07-02T02:40:00,2025-07-02T04:22:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
AM,7876,AERO MEXICO,2025-07-02T05:05:00,2025-07-02T04:42:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
LY,318,EL AL ISRAEL AIRLINES,2025-07-02T05:05:00,2025-07-02T04:42:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
SK,3174,SAS,2025-07-02T05:05:00,2025-07-02T04:42:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
VS,7496,VIRGIN ATLANTIC AIRWAYS,2025-07-02T05:05:00,2025-07-02T04:42:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
LY,086,EL AL ISRAEL AIRLINES,2025-07-02T03:50:00,2025-07-02T04:45:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
BZ,251,BLUE BIRD AIRWAYS,2025-07-02T04:05:00,2025-07-02T04:51:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
